# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	5.163955589981926442e-02
22	5.163955589981926442e-02
23	5.163955589981926442e-02
24	6.024614854978913719e-02
25	7.745933384972888969e-02
26	1.032791117996385288e-01
27	1.377054823995180199e-01
28	1.721318529993975388e-01
29	2.840175574490059196e-01
30	3.356571133488251979e-01
31	3.614768912987348370e-01
32	3.872966692486444762e-01
33	3.872966692486444762e-01
34	4.303296324984938193e-01
35	5.250021516481624406e-01
36	5.852483001979515986e-01
37	5.938548928479214783e-01
38	6.196746707978311175e-01
39	6.454944487477407566e-01
40	6.971340046475600349e-01
41	6.971340046475600349e-01
42	6.971340046475600349e-01
43	6.971340046475600349e-01
44	7.229537825974696741e-01
45	7.573801531973491930e-01
46	7.659867458473190727e-01
47	7.659867458473190727e-01
48	7.831999311472588321e-01
49	9.036922282468370371e-01
50	9.467251914966864357e-01
51	1.006971340046475705e+00
52	1.041397710646355002e+00
53	1.050004303296324881e+00
54	1.058610895946294761e+00
55	1.118857044496083919e+00
56	1.118857044496083919e+00
57	1.153283415095963438e+00
58	1.153283415095963438e+00
59	1.170496600395903197e+00
60	1.170496600395903197e+00
61	1.170496600395903197e+00
62	1.170496600395903197e+00
63	1.179103193045873077e+00
64	1.179103193045873077e+00
65	1.256562526895601994e+00
66	1.256562526895601994e+00
67	1.488940528444788747e+00
68	1.488940528444788747e+00
69	1.643859196144246582e+00
70	1.643859196144246582e+00
71	1.807384456493674074e+00
72	2.091402013942679883e+00
73	2.117221791892589522e+00
74	2.263533866942077477e+00
75	2.340993200791806395e+00
76	2.401239349341595553e+00
77	2.435665719941475071e+00
78	2.495911868491264229e+00
79	2.513125053791203989e+00
80	3.347964540838282321e+00
81	3.416817282038041359e+00
82	3.494276615887769832e+00
83	3.502883208537739712e+00
84	3.528702986487649351e+00
85	3.606162320337378269e+00
86	3.606162320337378269e+00
87	3.623375505637318028e+00
88	3.907393063086324059e+00
89	3.907393063086324059e+00
90	4.096738101385661857e+00
91	4.329116102934848165e+00
92	4.354935880884757360e+00
93	4.406575436784576638e+00
94	5.731990704879938114e+00
95	6.213959893278251378e+00
96	6.472157672777347770e+00
97	6.644289525776745364e+00
98	6.962733453825630470e+00
99	7.324210345124365418e+00
100	8.029950942421894666e+00
101	1.102504518461141281e+01
102	1.128324296411050831e+01
103	1.429555039159996532e+01
104	1.482055254324812843e+01
105	1.544022721404595977e+01
106	1.646441173939237501e+01
107	2.483862638781306487e+01
108	2.718822618125484070e+01
109	3.544194853257595668e+01
110	4.465100266804372353e+01
111	3.736982528616920263e+01
112	2.859110078319993065e+01
113	2.526895602031155974e+01
114	2.174885962647388027e+01
115	1.974352353903089607e+01
116	1.850417419743523695e+01
117	1.784146656338755577e+01
