# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	9.652509652509652302e-03
21	9.652509652509652302e-03
22	9.652509652509652302e-03
23	9.652509652509652302e-03
24	2.895752895752895864e-02
25	2.895752895752895864e-02
26	9.652509652509652649e-02
27	1.254826254826254817e-01
28	1.351351351351351426e-01
29	2.702702702702702853e-01
30	3.281853281853281956e-01
31	4.054054054054054279e-01
32	4.054054054054054279e-01
33	4.054054054054054279e-01
34	4.440154440154440163e-01
35	4.922779922779922934e-01
36	5.694980694980694702e-01
37	5.888030888030888477e-01
38	5.888030888030888477e-01
39	6.081081081081081141e-01
40	6.081081081081081141e-01
41	6.370656370656370138e-01
42	6.467181467181467580e-01
43	6.949806949806950351e-01
44	6.949806949806950351e-01
45	7.335907335907335680e-01
46	7.335907335907335680e-01
47	7.335907335907335680e-01
48	7.432432432432432012e-01
49	8.011583011583011116e-01
50	8.397683397683397555e-01
51	8.397683397683397555e-01
52	8.397683397683397555e-01
53	8.397683397683397555e-01
54	8.590733590733590219e-01
55	8.687258687258687662e-01
56	8.880308880308880326e-01
57	9.169884169884170433e-01
58	9.266409266409266765e-01
59	9.942084942084942201e-01
60	9.942084942084942201e-01
61	9.942084942084942201e-01
62	1.042471042471042386e+00
63	1.042471042471042386e+00
64	1.042471042471042386e+00
65	1.042471042471042386e+00
66	1.061776061776061875e+00
67	1.100386100386100408e+00
68	1.129343629343629418e+00
69	1.254826254826254761e+00
70	1.254826254826254761e+00
71	1.554054054054053946e+00
72	1.640926640926640978e+00
73	1.640926640926640978e+00
74	1.708494208494208522e+00
75	1.718146718146718044e+00
76	1.718146718146718044e+00
77	1.718146718146718044e+00
78	1.737451737451737532e+00
79	1.737451737451737532e+00
80	2.277992277992277881e+00
81	2.287644787644787847e+00
82	2.297297297297297369e+00
83	2.297297297297297369e+00
84	2.316602316602316414e+00
85	2.393822393822393924e+00
86	2.422779922779922934e+00
87	2.422779922779922934e+00
88	2.596525096525096554e+00
89	2.702702702702702631e+00
90	2.722007722007722119e+00
91	2.895752895752895739e+00
92	2.924710424710424750e+00
93	2.924710424710424750e+00
94	3.996138996138995925e+00
95	4.266409266409266543e+00
96	4.353281853281853131e+00
97	4.527027027027027195e+00
98	4.845559845559845868e+00
99	5.019305019305019044e+00
100	5.492277992277991849e+00
101	7.548262548262548499e+00
102	7.770270270270270174e+00
103	1.005791505791505713e+01
104	1.065637065637065639e+01
105	1.114864864864864913e+01
106	1.197876447876447870e+01
107	1.918918918918918948e+01
108	2.144787644787644965e+01
109	2.951737451737451678e+01
110	3.727799227799227566e+01
111	3.004826254826254939e+01
112	2.127413127413127469e+01
113	1.856177606177606165e+01
114	1.542471042471042431e+01
115	1.411196911196911152e+01
116	1.329150579150579148e+01
117	1.288610038610038622e+01
